ticker,score_type,holding,n,rho,p,spread,verdict,class,class_mean_rho,n_bars,start,end,top_ret,top_dd,top_n,bottom_ret,bottom_dd,bottom_n
ABBN.SW,GESAMT,20,6183,-0.0315,0.013392,-0.6402,invers,neutral,-0.0294,6859,1999-06-28,2026-07-02,1.2558,-5.0513,1418.0,1.896,-7.9733,1453.0
ABBV,SC,1,2638,-0.0029,0.882042,0.0243,neutral,neutral,-0.0152,3394,2013-01-03,2026-07-02,0.0421,-1.0591,1095.0,0.0178,-1.0088,605.0
ABBV,SC,5,2634,-0.0126,0.517096,-0.0087,neutral,neutral,-0.0152,3394,2013-01-03,2026-07-02,0.2459,-2.4204,1092.0,0.2546,-2.624,604.0
ABBV,SC,10,2629,-0.0177,0.365476,-0.1431,neutral,neutral,-0.0152,3394,2013-01-03,2026-07-02,0.6623,-3.4444,1092.0,0.8054,-3.5247,603.0
ABBV,SC,15,2624,-0.027,0.166016,-0.4388,neutral,neutral,-0.0152,3394,2013-01-03,2026-07-02,1.0402,-4.2004,1089.0,1.479,-4.1537,603.0
ABBV,SC,20,2619,-0.0036,0.852668,-0.0578,neutral,neutral,-0.0152,3394,2013-01-03,2026-07-02,1.6353,-4.8183,1085.0,1.6931,-4.6569,602.0
ABBV,TS,1,3353,-0.0289,0.094111,-0.0658,neutral,neutral,-0.0457,3394,2013-01-03,2026-07-02,0.072,-0.9375,1298.0,0.1378,-1.1259,1304.0
ABBV,TS,5,3349,-0.0231,0.182211,-0.6929,neutral,neutral,-0.0457,3394,2013-01-03,2026-07-02,0.3424,-2.2876,1294.0,1.0353,-2.4537,670.0
ABBV,TS,10,3344,-0.0449,0.009359,-1.313,invers,neutral,-0.0457,3394,2013-01-03,2026-07-02,0.756,-3.1863,1294.0,2.069,-3.3505,670.0
ABBV,TS,15,3339,-0.0492,0.004449,-1.5358,invers,neutral,-0.0457,3394,2013-01-03,2026-07-02,1.0627,-3.8663,1292.0,2.5985,-4.1139,670.0
ABBV,TS,20,3334,-0.0657,0.000147,-2.227,invers,neutral,-0.0457,3394,2013-01-03,2026-07-02,1.1683,-4.5598,1290.0,3.3953,-4.6671,670.0
ABBV,GESAMT,1,2638,-0.0068,0.728375,-0.0348,neutral,neutral,-0.03,3394,2013-01-03,2026-07-02,0.0354,-1.0071,962.0,0.0702,-1.0566,774.0
ABBV,GESAMT,5,2634,-0.0058,0.765193,-0.2136,neutral,neutral,-0.03,3394,2013-01-03,2026-07-02,0.302,-2.3388,959.0,0.5156,-2.5558,773.0
ABBV,GESAMT,10,2629,-0.0337,0.084269,-0.5802,neutral,neutral,-0.03,3394,2013-01-03,2026-07-02,0.5795,-3.3563,959.0,1.1597,-3.4899,772.0
ABBV,GESAMT,15,2624,-0.0426,0.029165,-0.7891,invers,neutral,-0.03,3394,2013-01-03,2026-07-02,0.9238,-4.1044,956.0,1.7129,-4.165,771.0
ABBV,GESAMT,20,2619,-0.0377,0.053664,-0.8613,neutral,neutral,-0.03,3394,2013-01-03,2026-07-02,1.2349,-4.7818,952.0,2.0962,-4.6622,770.0
